Rank,Actor_ID,Name,Img_link,Experince,Work
1,nm0050959,Pedro Pascal,"https://m.media-amazon.com/images/M/MV5BMGNlYTVlYTMtMjRhMC00YjY5LTkwMzMtZDE4MWQzMzgwYmUzXkEyXkFqcGdeQXVyMjI0OTExNzk@._V1_UY209_CR15,0,140,209_AL_.jpg",Actor,The Mandalorian (tt8111088)
2,nm8165602,Bella Ramsey,"https://m.media-amazon.com/images/M/MV5BMWJkZWEyMWYtYWI1MS00ZTY0LTg2MTAtYjUzMWIwZDhjNmViXkEyXkFqcGdeQXVyNzI5MjUxNjE@._V1_UY209_CR13,0,140,209_AL_.jpg",Actress,Game of Thrones (tt0944947)
3,nm0001491,Melanie Lynskey,"https://m.media-amazon.com/images/M/MV5BMjIzNDg5NTg4Nl5BMl5BanBnXkFtZTcwMTU3NjgyMw@@._V1_UY209_CR4,0,140,209_AL_.jpg",Actress,Togetherness (tt3061830)
4,nm1396022,Anna Torv,"https://m.media-amazon.com/images/M/MV5BMzQ0NDg0MjQ3NV5BMl5BanBnXkFtZTgwOTI5OTAwODE@._V1_UY209_CR8,0,140,209_AL_.jpg",Actress,Fringe (tt1119644)
5,nm4911194,Jenna Ortega,"https://m.media-amazon.com/images/M/MV5BNmQ1MDJhYmUtNTJhYS00Njk2LTgyMmEtYmNhM2JiZGMwMTc0XkEyXkFqcGdeQXVyMzQwODQxNTU@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Scream (tt11245972)
6,nm0058864,Murray Bartlett,"https://m.media-amazon.com/images/M/MV5BMjA0NjY3NjI4MV5BMl5BanBnXkFtZTgwNTM4OTg5NDE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,The White Lotus (tt13406094)
7,nm0005169,Natasha Lyonne,"https://m.media-amazon.com/images/M/MV5BMTEyMzc2MTE2MzheQTJeQWpwZ15BbWU4MDUwNTY0ODYx._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Orange Is the New Black (tt2372162)
8,nm0682386,Jeffrey Pierce,"https://m.media-amazon.com/images/M/MV5BYzhkMDJiOGItYTI3OS00YWE3LTg1MGYtYjI5OGM4ODFlOWVlXkEyXkFqcGdeQXVyNDg4NjUyOQ@@._V1_UY209_CR13,0,140,209_AL_.jpg",Actor,The Last of Us (tt3581920)
9,nm1156709,Annie Wersching,"https://m.media-amazon.com/images/M/MV5BNmQ5NGQwZWMtYzlmMy00YTE0LThlZjEtNTM5MTkzNjI0MzNkXkEyXkFqcGdeQXVyMzM3NDM0MA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,The Last of Us (tt2140553)
10,nm4528025,Charlbi Dean,"https://m.media-amazon.com/images/M/MV5BMTgxNzc2MDY5MF5BMl5BanBnXkFtZTgwMTQyODgwNjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Triangle of Sadness (tt7322224)
11,nm1988575,Lauren London,"https://m.media-amazon.com/images/M/MV5BMTQ4MTkzNTg4M15BMl5BanBnXkFtZTYwMjUzMTE1._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,ATL (tt0466856)
12,nm3218692,Madelyn Cline,"https://m.media-amazon.com/images/M/MV5BMTkyYWJiYTktZDlkMC00ZmZjLWI4MjQtYmQwNzg1OGQ3NDJhXkEyXkFqcGdeQXVyMjA0MjY3MzI@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Boy Erased (tt7008872)
