Rank,Title_ID,Title,Aired_In,Certificate,Duration,Rating,Votes,Stars,Genre,Episodes,Seasons
1,tt5491994,Planet Earth II,2016,TV-G,4h 58m,9.5,"147,091","David Attenborough,Gordon Buchanan,Chadden Hunter",Documentary,6,1
2,tt0903747,Breaking Bad,2008–2013,TV-MA,49m,9.5,"1,913,628",Vince Gilligan,155 wins & 247 nominations total,62,
3,tt0795176,Planet Earth,2006,TV-PG,8h 58m,9.4,"211,286","Sigourney Weaver,David Attenborough,Nikolay Drozdov",Sigourney Weaver replaces David Attenborough for the narration of the US version.,11,1
4,tt0185906,Band of Brothers,2001,TV-MA,9h 54m,9.4,"473,850","Scott Grimes,Damian Lewis,Ron Livingston",DramaHistoryWar,10,1
5,tt7366338,Chernobyl,2019,TV-MA,5h 30m,9.4,"767,251",Craig Mazin,84 wins & 60 nominations total,5,1
6,tt0306414,The Wire,2002–2008,TV-MA,59m,9.3,"344,155",David Simon,16 wins & 54 nominations total,60,
7,tt6769208,Blue Planet II,2017,TV-G,6h 4m,9.3,"42,046","David Attenborough,Peter Drost,Roger Horrocks",Documentary,7,1
8,tt0417299,,2005–2008,TV-Y7-FV,23m,9.3,"320,946","Michael Dante DiMartino,Bryan Konietzko",9 wins & 6 nominations total,62,
9,tt2395695,,2014,TV-PG,9h 17m,9.3,"123,013","Neil deGrasse Tyson,Christopher Emerson,Keythe Farley",TV-PG,13,1
10,tt0141842,The Sopranos,1999–2007,TV-MA,55m,9.2,"407,800",David Chase,122 wins & 309 nominations total,86,
11,tt0081846,Cosmos,1980,TV-PG,13h,9.3,"41,612","Ann Druyan,Carl Sagan,Steven Soter",4 wins & 3 nominations total,13,1
12,tt9253866,Our Planet,2019,TV-G,6h 43m,9.3,"44,654",David Attenborough,TV-G,8,1
13,tt0944947,Game of Thrones,2011–2019,TV-MA,57m,9.2,"2,119,180","David Benioff,D.B. Weiss",389 wins & 635 nominations total,73,
14,tt0071075,The World at War,1973–1974,TV-PG,52m,9.2,"26,292","Laurence Olivier,Averell Harriman,Albert Speer",DocumentaryHistoryWar,26,1
15,tt2861424,Rick and Morty,2013–,TV-14,23m,9.1,"534,928","Dan Harmon,Justin Roiland",18 wins & 36 nominations total,61,
16,tt1355642,,2009–2010,TV-14,24m,9.1,"171,797",Hiromu Arakawa,3 wins & 4 nominations,68,1
17,tt8420184,The Last Dance,2020,TV-MA,8h 11m,9.1,"127,379","Michael Jordan,Phil Jackson,Scottie Pippen",TV-MA,10,1
18,tt1533395,Life,2009,TV-G,7h 53m,9.1,"41,301","Oprah Winfrey,David Attenborough,Doug Allan",Documentary,11,1
19,tt1475582,Sherlock,2010–2017,TV-14,1h 28m,9.1,"934,754","Mark Gatiss,Steven Moffat",93 wins & 183 nominations total,15,
20,tt0052520,The Twilight Zone,1959–1964,TV-PG,51m,9.1,"85,413",Rod Serling,9 wins & 14 nominations total,156,
21,tt1877514,The Vietnam War,2017,TV-MA,16h 30m,9.1,"25,372","Peter Coyote,Huy Duc,James Willbanks",DocumentaryHistoryWar,10,1
22,tt7678620,Bluey,2018–,TV-Y,7m,9.5,"12,546",Joe Brumm,14 wins & 8 nominations,161,
23,tt0103359,,1992–1995,TV-PG,23m,9.0,"105,954","Bob Kane,Eric Radomski,Bruce Timm",5 wins & 19 nominations total,85,
24,tt12392504,,2020,TV-14,54m,9.3,"145,687","Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher",BiographyCrimeDramaThriller,10,1
25,tt11126994,Arcane,2021–,TV-14,41m,9.0,"214,484","Hailee Steinfeld,Kevin Alejandro,Jason Spisak",AnimationActionAdventureDramaFantasySci-Fi,10,1
26,tt2560140,Attack on Titan,2013–2023,TV-MA,24m,9.0,"380,377","Josh Grelle,Bryce Papenbrook,Yûki Kaji",AnimationActionAdventureDramaFantasyHorror,97,
27,tt0296310,The Blue Planet,2001,TV-G,6h 29m,9.0,"40,259","David Attenborough,Pierce Brosnan,Peter Scoones",TV-G,8,1
28,tt0386676,The Office,2005–2013,TV-14,22m,9.0,"613,985","Greg Daniels,Ricky Gervais,Stephen Merchant",51 wins & 195 nominations total,188,
29,tt0303461,Firefly,2002–2003,TV-14,44m,9.0,"268,036",Joss Whedon,5 wins & 8 nominations total,14,1
30,tt1806234,Human Planet,2011,TV-PG,50m,9.0,"26,662","John Hurt,Roger Munns",TV-PG,8,1
31,tt2092588,Frozen Planet,2011–2012,TV-PG,5h 33m,9.0,"31,069","David Attenborough,Alec Baldwin,Chadden Hunter",TV-PG,10,1
32,tt0877057,Death Note,2006–2007,TV-14,23m,9.0,"330,609","Mamoru Miyano,Brad Swaile,Vincent Tong",AnimationCrimeDramaFantasyMysteryThriller,37,1
33,tt0081912,Only Fools and Horses,1981–2003,TV-PG,1h 35m,9.0,"52,853",John Sullivan,17 wins & 15 nominations total,64,
34,tt0098769,The Civil War,1990,TV-14,11h 20m,9.1,"16,905","David McCullough,Sam Waterston,Julie Harris",DocumentaryHistoryWar,9,1
35,tt3032476,Better Call Saul,2015–2022,TV-MA,46m,8.9,"544,394","Vince Gilligan,Peter Gould",56 wins & 282 nominations total,63,
