Rank,Title_ID,Title,Aired_In,Rating
1,tt5491994,Planet Earth II,2016,9.4
2,tt0903747,Breaking Bad,2008,9.4
3,tt0795176,Planet Earth,2006,9.4
4,tt0185906,Band of Brothers,2001,9.4
5,tt7366338,Chernobyl,2019,9.3
6,tt0306414,The Wire,2002,9.3
7,tt6769208,Blue Planet II,2017,9.2
8,tt0417299,Avatar: The Last Airbender,2005,9.2
9,tt2395695,Cosmos: A Spacetime Odyssey,2014,9.2
10,tt0141842,The Sopranos,1999,9.2
11,tt0081846,Cosmos,1980,9.2
12,tt9253866,Our Planet,2019,9.2
13,tt0944947,Game of Thrones,2011,9.1
14,tt0071075,The World at War,1973,9.1
15,tt2861424,Rick and Morty,2013,9.1
16,tt1355642,Hagane no renkinjutsushi,2009,9.0
17,tt8420184,The Last Dance,2020,9.0
18,tt1533395,Life,2009,9.0
19,tt1475582,Sherlock,2010,9.0
20,tt0052520,The Twilight Zone,1959,9.0
21,tt1877514,The Vietnam War,2017,9.0
22,tt7678620,Bluey,2018,9.0
23,tt0103359,Batman: The Animated Series,1992,9.0
24,tt12392504,Scam 1992: The Harshad Mehta Story,2020,8.9
25,tt11126994,Arcane: League of Legends,2021,8.9
26,tt2560140,Shingeki no Kyojin,2013,8.9
27,tt0296310,The Blue Planet,2001,8.9
28,tt0386676,The Office,2005,8.9
29,tt0303461,Firefly,2002,8.9
30,tt1806234,Human Planet,2011,8.9
31,tt2092588,Frozen Planet,2011,8.9
32,tt0877057,Death Note: Desu nôto,2006,8.9
33,tt0081912,Only Fools and Horses....,1981,8.9
34,tt0098769,The Civil War,1990,8.9
35,tt3032476,Better Call Saul,2015,8.9
36,tt2356777,True Detective,2014,8.9
37,tt2098220,Hunter x Hunter,2011,8.9
38,tt0098904,Seinfeld,1989,8.9
39,tt7920978,Sahsiyet,2018,8.9
40,tt0092337,Dekalog,1989,8.9
41,tt9735318,The Beatles: Get Back,2021,8.9
42,tt2802850,Fargo,2014,8.9
43,tt0213338,Kaubôi bibappu,1998,8.9
44,tt10541088,Clarkson's Farm,2021,8.8
45,tt2297757,Nathan for You,2013,8.8
46,tt1865718,Gravity Falls,2012,8.8
47,tt7137906,When They See Us,2019,8.8
48,tt3530232,Last Week Tonight with John Oliver,2014,8.8
49,tt0108778,Friends,1994,8.8
50,tt2571774,Africa,2013,8.8
